Archivo utilizado,Propiedad,Valor Obtenido
misc/4.1.01.tiff,Entropía de la fuente,6.90045008724148
misc/4.1.01.tiff,Longitud media del código de Huffman,6.92923435053988
misc/4.1.01.tiff,Varianza del código de Huffman,1.00918804695635
misc/4.1.01.tiff,Eficiencia de la codificación original de la fuente,0.862556260905184
misc/4.1.01.tiff,Eficiencia del nuevo código de Huffman,0.866154293817485
misc/4.1.01.tiff,Memoria original,1624056
misc/4.1.01.tiff,Memoria comprimida,1443576
misc/4.1.01.tiff,Tasa de compresión,0.111129172885664
misc/4.1.01.tiff,Incoherencias,0
misc/4.1.02.tiff,Entropía de la fuente,6.29687208484686
misc/4.1.02.tiff,Longitud media del código de Huffman,6.32885721837071
misc/4.1.02.tiff,Varianza del código de Huffman,1.96392481883917
misc/4.1.02.tiff,Eficiencia de la codificación original de la fuente,0.787109010605858
misc/4.1.02.tiff,Eficiencia del nuevo código de Huffman,0.791107152296338
misc/4.1.02.tiff,Memoria original,1624056
misc/4.1.02.tiff,Memoria comprimida,1283160
misc/4.1.02.tiff,Tasa de compresión,0.209904091977124
misc/4.1.02.tiff,Incoherencias,0
misc/4.1.03.tiff,Entropía de la fuente,5.97589914851675
misc/4.1.03.tiff,Longitud media del código de Huffman,5.9976670665011
misc/4.1.03.tiff,Varianza del código de Huffman,4.74333629405887
misc/4.1.03.tiff,Eficiencia de la codificación original de la fuente,0.746987393564594
misc/4.1.03.tiff,Eficiencia del nuevo código de Huffman,0.749708383312637
misc/4.1.03.tiff,Memoria original,1624056
misc/4.1.03.tiff,Memoria comprimida,1283160
misc/4.1.03.tiff,Tasa de compresión,0.209904091977124
misc/4.1.03.tiff,Incoherencias,0
misc/4.1.04.tiff,Entropía de la fuente,7.42931640324433
misc/4.1.04.tiff,Longitud media del código de Huffman,7.4553032305284
misc/4.1.04.tiff,Varianza del código de Huffman,0.81752260053097
misc/4.1.04.tiff,Eficiencia de la codificación original de la fuente,0.928664550405541
misc/4.1.04.tiff,Eficiencia del nuevo código de Huffman,0.93191290381605
misc/4.1.04.tiff,Memoria original,1624056
misc/4.1.04.tiff,Memoria comprimida,1624056
misc/4.1.04.tiff,Tasa de compresión,0
misc/4.1.04.tiff,Incoherencias,0
misc/4.1.05.tiff,Entropía de la fuente,7.07173849962427
misc/4.1.05.tiff,Longitud media del código de Huffman,7.10429076788589
misc/4.1.05.tiff,Varianza del código de Huffman,1.8605172999662
misc/4.1.05.tiff,Eficiencia de la codificación original de la fuente,0.883967312453033
misc/4.1.05.tiff,Eficiencia del nuevo código de Huffman,0.888036345985736
misc/4.1.05.tiff,Memoria original,1624056
misc/4.1.05.tiff,Memoria comprimida,1443576
misc/4.1.05.tiff,Tasa de compresión,0.111129172885664
misc/4.1.05.tiff,Incoherencias,0
misc/4.1.06.tiff,Entropía de la fuente,7.53925745033032
misc/4.1.06.tiff,Longitud media del código de Huffman,7.57520279748722
misc/4.1.06.tiff,Varianza del código de Huffman,0.87854666582828
misc/4.1.06.tiff,Eficiencia de la codificación original de la fuente,0.94240718129129
misc/4.1.06.tiff,Eficiencia del nuevo código de Huffman,0.946900349685903
misc/4.1.06.tiff,Memoria original,1624056
misc/4.1.06.tiff,Memoria comprimida,1624056
misc/4.1.06.tiff,Tasa de compresión,0
misc/4.1.06.tiff,Incoherencias,0
misc/4.1.07.tiff,Entropía de la fuente,6.58848246603389
misc/4.1.07.tiff,Longitud media del código de Huffman,6.62237481448348
misc/4.1.07.tiff,Varianza del código de Huffman,2.34623265086137
misc/4.1.07.tiff,Eficiencia de la codificación original de la fuente,0.823560308254237
misc/4.1.07.tiff,Eficiencia del nuevo código de Huffman,0.827796851810435
misc/4.1.07.tiff,Memoria original,1624056
misc/4.1.07.tiff,Memoria comprimida,1443576
misc/4.1.07.tiff,Tasa de compresión,0.111129172885664
misc/4.1.07.tiff,Incoherencias,0
misc/4.1.08.tiff,Entropía de la fuente,6.85741968244698
misc/4.1.08.tiff,Longitud media del código de Huffman,6.88646390306379
misc/4.1.08.tiff,Varianza del código de Huffman,2.27688124233349
misc/4.1.08.tiff,Eficiencia de la codificación original de la fuente,0.857177460305873
misc/4.1.08.tiff,Eficiencia del nuevo código de Huffman,0.860807987882974
misc/4.1.08.tiff,Memoria original,1624056
misc/4.1.08.tiff,Memoria comprimida,1443576
misc/4.1.08.tiff,Tasa de compresión,0.111129172885664
misc/4.1.08.tiff,Incoherencias,0
misc/4.2.01.tiff,Entropía de la fuente,7.24288030393757
misc/4.2.01.tiff,Longitud media del código de Huffman,7.27709478598239
misc/4.2.01.tiff,Varianza del código de Huffman,1.87545044308846
misc/4.2.01.tiff,Eficiencia de la codificación original de la fuente,0.905360037992197
misc/4.2.01.tiff,Eficiencia del nuevo código de Huffman,0.909636848247798
misc/4.2.01.tiff,Memoria original,6675480
misc/4.2.01.tiff,Memoria comprimida,5933720
misc/4.2.01.tiff,Tasa de compresión,0.111117103189583
misc/4.2.01.tiff,Incoherencias,0
misc/4.2.03.tiff,Entropía de la fuente,7.76319241718076
misc/4.2.03.tiff,Longitud media del código de Huffman,7.80157696943255
misc/4.2.03.tiff,Varianza del código de Huffman,0.607101859622691
misc/4.2.03.tiff,Eficiencia de la codificación original de la fuente,0.970399052147595
misc/4.2.03.tiff,Eficiencia del nuevo código de Huffman,0.975197121179068
misc/4.2.03.tiff,Memoria original,6675480
misc/4.2.03.tiff,Memoria comprimida,6675480
misc/4.2.03.tiff,Tasa de compresión,0
misc/4.2.03.tiff,Incoherencias,0
misc/4.2.05.tiff,Entropía de la fuente,6.66490407317718
misc/4.2.05.tiff,Longitud media del código de Huffman,6.69221126610067
misc/4.2.05.tiff,Varianza del código de Huffman,2.77781177451065
misc/4.2.05.tiff,Eficiencia de la codificación original de la fuente,0.833113009147148
misc/4.2.05.tiff,Eficiencia del nuevo código de Huffman,0.836526408262584
misc/4.2.05.tiff,Memoria original,6675480
misc/4.2.05.tiff,Memoria comprimida,5274392
misc/4.2.05.tiff,Tasa de compresión,0.209885731063534
misc/4.2.05.tiff,Incoherencias,0
misc/4.2.06.tiff,Entropía de la fuente,7.76247650804386
misc/4.2.06.tiff,Longitud media del código de Huffman,7.78866651749671
misc/4.2.06.tiff,Varianza del código de Huffman,0.493700826544653
misc/4.2.06.tiff,Eficiencia de la codificación original de la fuente,0.970309563505482
misc/4.2.06.tiff,Eficiencia del nuevo código de Huffman,0.973583314687088
misc/4.2.06.tiff,Memoria original,6675480
misc/4.2.06.tiff,Memoria comprimida,6675480
misc/4.2.06.tiff,Tasa de compresión,0
misc/4.2.06.tiff,Incoherencias,0
misc/4.2.07.tiff,Entropía de la fuente,7.66960514891985
misc/4.2.07.tiff,Longitud media del código de Huffman,7.69416785748853
misc/4.2.07.tiff,Varianza del código de Huffman,0.651602555938274
misc/4.2.07.tiff,Eficiencia de la codificación original de la fuente,0.958700643614982
misc/4.2.07.tiff,Eficiencia del nuevo código de Huffman,0.961770982186066
misc/4.2.07.tiff,Memoria original,6675480
misc/4.2.07.tiff,Memoria comprimida,6675480
misc/4.2.07.tiff,Tasa de compresión,0
misc/4.2.07.tiff,Incoherencias,0
misc/5.1.09.tiff,Entropía de la fuente,6.71668584124208
misc/5.1.09.tiff,Longitud media del código de Huffman,6.73858687376279
misc/5.1.09.tiff,Varianza del código de Huffman,1.7215367879075
misc/5.1.09.tiff,Eficiencia de la codificación original de la fuente,0.83958573015526
misc/5.1.09.tiff,Eficiencia del nuevo código de Huffman,0.842323359220349
misc/5.1.09.tiff,Memoria original,562488
misc/5.1.09.tiff,Memoria comprimida,444376
misc/5.1.09.tiff,Tasa de compresión,0.209981368491417
misc/5.1.09.tiff,Incoherencias,0
misc/5.1.10.tiff,Entropía de la fuente,7.32044987651666
