Running command: python3 base5.py -i misc/4.1.01.tiff
 Char | Huffman code 
----------------------
 44   |      111000
 42   |      110101
 46   |      110011
 49   |      110000
 40   |      101110
 52   |      101000
 38   |      100100
 37   |      100010
 1    |      100001
 4    |      011110
 3    |      011100
 34   |      010111
 2    |      010110
 47   |      010011
 50   |      010001
 35   |      001110
 7    |      001100
 32   |      001011
 57   |      001010
 5    |      001000
 54   |      000110
 88   |      000101
 84   |      000100
 80   |      000011
 43   |      000001
 82   |     1111111
 6    |     1111101
 93   |     1111100
 86   |     1111011
 31   |     1111010
 72   |     1111001
 39   |     1111000
 18   |     1110110
 30   |     1110101
 16   |     1110100
 14   |     1110011
 55   |     1110010
 8    |     1101110
 20   |     1101101
 100  |     1101001
 64   |     1101000
 13   |     1100101
 29   |     1100011
 9    |     1100010
 10   |     1011111
 62   |     1011110
 12   |     1011011
 28   |     1011001
 15   |     1010110
 11   |     1010100
 59   |     1010011
 23   |     1001111
 76   |     1001110
 60   |     1001100
 91   |     1001010
 33   |     1000111
 78   |     1000110
 25   |     1000001
 95   |     1000000
 19   |     0111111
 98   |     0111110
 74   |     0111011
 45   |     0110111
 68   |     0110110
 41   |     0110101
 105  |     0110100
 27   |     0110010
 103  |     0110001
 108  |     0110000
 17   |     0101010
 110  |     0101001
 123  |     0100101
 22   |     0100100
 48   |     0100001
 26   |     0100000
 134  |     0011111
 70   |     0011110
 66   |     0010011
 115  |     0010010
 137  |     0000001
 21   |     0000000
 51   |    11101111
 24   |    11011110
 113  |    11011000
 36   |    11001000
 121  |    10110101
 118  |    10110001
 128  |    10110000
 139  |    10101110
 143  |    10101010
 125  |    10100101
 129  |    10011011
 146  |    10010111
 126  |    10010110
 132  |    01110100
 77   |    01010001
 75   |    01010000
 67   |    00110110
 90   |    00110101
 71   |    00011111
 149  |    00011110
 102  |    00011101
 53   |    00011100
 140  |    00001011
 97   |    00001010
 96   |    00001000
 152  |   111111011
 69   |   111111010
 56   |   111111001
 107  |   111011101
 58   |   110111111
 65   |   110111110
 155  |   110110010
 131  |   110010010
 112  |   101101001
 158  |   101011111
 61   |   101011110
 106  |   101010110
 136  |   101001001
 130  |   101001000
 117  |   100110100
 133  |   011101011
 114  |   011101010
 145  |   011001111
